"Fatal","Day","Lat","Lon","NonUSA","Nonairplane","Phase","Event","Personal","Multiple"
0,45,61.2067,-157.1672,0,0,"LDG","Other",0,0
0,45,30.0392,-93.0864,0,0,"TOF","LOC-G",0,0
1,47,33.4206,-112.6861,0,1,"TOF","LOC-I",0,0
0,47,30.7739,-96.4544,0,0,"ENR","SCF-PP",0,0
0,48,37.1319,-76.4931,0,0,"LDG","LOC-G",1,0
1,49,35.0086,-80.3686,0,0,"ENR","FUEL",1,0
1,49,21.3667,-157.9403,0,1,"ENR","SCF-NP",1,0
0,49,25.0017,-80.5369,0,0,"APR","Other",0,0
1,51,40.9611,-73.0844,0,0,"ENR","FUEL",1,0
0,51,28.4436,-81.2825,0,0,"TOF","Other",0,0
0,52,29.9592,-81.3397,0,0,"STD","Other",1,0
0,52,41.6858,-81.3906,0,0,"TOF","Other",1,0
0,53,34.2547,-118.4086,0,0,"ICL","SCF-PP",0,0
0,53,16.2578,-61.2625,1,0,"ICL","SCF-NP",1,0
0,54,29.6206,-81.6558,0,0,"ENR","SCF-PP",0,0
0,54,33.8025,-118.3386,0,1,"MNV","Other",1,0
0,54,39.1225,-108.5267,0,0,"LDG","SCF-NP",1,0
0,55,46.7439,-117.1094,0,0,"LDG","ARC",0,0
0,55,26.0072,-80.2372,0,0,"APR","SCF-PP",0,0
0,55,47.1961,-122.0203,0,0,"TXI","LOC-G",0,0
0,56,37.6933,-121.8203,0,0,"LDG","LOC-G",0,0
0,58,41.9103,-70.7289,0,0,"ICL","LOC-I",0,0
0,58,39.8414,-77.2747,0,0,"ICL","SCF-PP",0,0
0,58,38.8431,-85.815,0,0,"ENR","SCF-PP",0,0
0,58,39.3064,-87.9989,0,0,"LDG","Other",0,0
1,59,30.3564,-96.1067,0,0,"APR","LOC-I",0,0
0,59,29.6981,-82.2803,0,0,"LDG","Other",0,0
0,59,33.8756,-84.3019,0,0,"TOF","SCF-PP",0,0
0,60,35.0361,-107.3672,0,0,"ENR","FUEL",0,0
0,61,61.5717,-149.54,0,0,"LDG","LOC-G",1,0
1,61,32.4553,-99.6494,0,0,"TOF","LOC-I",0,0
0,61,31.1517,-81.3911,0,0,"LDG","ARC",0,0
0,61,41.3836,-72.5058,0,0,"LDG","Other",0,0
0,62,33.6,-111.6031,0,0,"MNV","SCF-PP",0,0
1,62,39.1175,-104.91,0,0,"ENR","LOC-I",0,0
0,62,33.8244,-116.5067,0,0,"TOF","SCF-PP",0,0
0,62,34.5675,-118.3083,0,1,"ENR","Other",0,0
0,62,30.9836,-91.8125,0,0,"ENR","SCF-PP",1,0
0,62,35.6525,-92.4003,0,0,"LDG","LOC-G",0,0
0,64,31.0558,-96.2506,0,0,"MNV","SCF-PP",0,0
0,65,33.2717,-111.5736,0,0,"ICL","LOC-I",0,0
0,65,40.8167,-73.2464,0,0,"ENR","SCF-PP",0,0
0,65,27.7239,-82.665,0,0,"ENR","SCF-PP",0,0
0,65,32.6156,-95.8681,0,0,"LDG","LOC-G",0,0
0,66,35.4833,-81.1611,0,0,"LDG","LOC-G",0,0
0,66,33.62,-111.9139,0,0,"LDG","ARC",0,0
0,69,40.2394,-75.5567,0,0,"ICL","SCF-PP",0,0
0,69,38.4192,-82.4944,0,0,"LDG","ARC",0,0
0,70,34.5714,-112.4192,0,0,"ICL","SCF-PP",0,0
1,71,36.0328,-106.0472,0,0,"APR","LOC-I",0,0
0,71,39.9828,-104.7022,0,0,"TOF","LOC-I",0,0
0,71,46.5794,-116.8111,0,0,"MNV","SCF-PP",1,0
1,72,28.5572,-81.7189,0,0,"ENR","SCF-PP",0,0
0,72,29.5211,-95.2422,0,0,"LDG","LOC-G",0,0
0,72,44.0017,-89.2003,0,0,"MNV","SCF-PP",0,0
0,72,41.555,-112.0622,0,0,"TOF","Other",0,0
0,72,34.8972,-81.08,0,1,"LDG","ARC",0,0
0,73,37.8914,-111.4633,0,0,"TOF","Other",0,0
1,73,43.1903,-111.0644,0,0,"ICL","LOC-I",0,0
0,73,44.4664,-73.1517,0,0,"TOF","LOC-G",0,0
0,73,33.2697,-111.8111,0,0,"LDG","LOC-G",0,0
0,74,27.3486,-82.1781,0,0,"ICL","SCF-PP",1,0
0,74,34.3531,-85.1511,0,0,"LDG","Other",1,0
0,75,31.9336,-102.2042,0,0,"TXI","Other",1,1
0,75,31.9336,-102.2042,0,0,"TXI","Other",1,1
0,76,35.3528,-78.6928,0,0,"TOF","LOC-I",0,0
0,77,33.9519,-117.445,0,1,"LDG","ARC",1,0
1,78,27.9197,-82.4478,0,0,"ICL","Other",0,0
0,78,32.505,-94.6983,0,0,"ICL","Other",0,0
0,78,41.6936,-88.1294,0,0,"TOF","LOC-G",0,0
0,78,37.7267,-97.2286,0,0,"APR","SCF-PP",0,0
0,78,34.6372,-86.775,0,0,"LDG","ARC",0,0
0,79,33.6831,-78.9292,0,0,"ICL","SCF-NP",0,0
1,80,42.1731,-102.2092,0,0,"MNV","LOC-I",0,0
0,80,30.395,-97.5631,0,0,"LDG","LOC-G",0,0
0,80,36.1833,-86.8867,0,0,"APR","ARC",0,0
1,81,33.9236,-118.3314,0,1,"TOF","Other",1,0
0,81,40.3553,-76.2614,0,1,"Other","Other",0,0
0,82,42.7619,-92.8047,0,0,"LDG","ARC",0,0
0,83,39.4181,-77.3711,0,0,"LDG","ARC",1,0
0,83,41.4536,-87.0069,0,0,"LDG","ARC",0,0
0,83,33.9317,-78.0731,0,1,"MNV","LOC-I",1,0
1,83,46.2189,-123.7967,0,0,"MNV","LOC-I",0,0
0,83,31.4806,-92.7317,0,0,"APR","SCF-PP",0,0
1,84,34.7228,-79.8828,0,0,"MNV","Other",0,0
0,84,33.3336,-83.7281,0,0,"LDG","LOC-G",0,0
0,85,36.7056,-93.4489,0,1,"MNV","LOC-I",0,0
0,85,26.6928,-80.8097,0,0,"MNV","LOC-I",1,0
1,86,38.3758,-81.5931,0,0,"TOF","LOC-I",1,0
0,86,29.3728,-100.9272,0,0,"TOF","Other",0,0
0,86,25.5058,-80.5531,0,0,"STD","Other",0,0
0,86,40.7589,-87.4378,0,0,"APR","SCF-PP",1,0
0,86,32.2239,-98.1828,0,0,"ENR","FUEL",0,0
0,86,43.2347,-77.1247,0,1,"LDG","ARC",1,0
0,86,33.1322,-97.0142,0,0,"LDG","LOC-G",0,0
0,86,36.2714,-119.59,0,1,"MNV","Other",1,0
0,86,46.9261,-98.6831,0,1,"Other","Other",1,0
0,86,47.1975,-122.7006,0,0,"ENR","FUEL",1,0
0,86,32.9683,-96.8364,0,0,"LDG","LOC-G",1,0
0,86,30.2086,-103.2525,0,0,"APR","Other",0,0
0,87,36.6233,-79.6253,0,0,"ENR","FUEL",0,0
1,87,41.2506,-75.2192,0,1,"ENR","Other",0,0
0,87,40.9636,-96.1969,0,0,"ENR","FUEL",0,0
0,87,40.3544,-79.9292,0,0,"STD","Other",0,0
0,89,36.5939,-78.5608,0,0,"TOF","LOC-I",0,0
1,89,47.425,-61.7781,1,0,"APR","LOC-I",0,0
0,89,32.4933,-80.9919,0,0,"LDG","LOC-G",0,0
0,89,30.5033,-97.2397,0,0,"MNV","LOC-I",1,0
0,90,35.6536,-80.9597,0,0,"MNV","Other",0,0
0,90,47.2856,-68.3128,0,0,"TOF","LOC-G",0,0
0,91,36.6983,-108.7006,0,0,"LDG","LOC-G",0,0
0,92,32.9686,-96.8364,0,0,"LDG","ARC",0,0
1,93,33.3386,-117.1586,0,0,"ENR","SCF-PP",0,0
0,93,30.6753,-88.4306,0,0,"ENR","SCF-PP",0,0
0,93,35.6003,-97.7061,0,0,"LDG","LOC-G",0,0
0,93,35.8514,-97.4161,0,0,"ICL","LOC-I",0,0
0,93,20.1833,-103.7,1,1,"Other","Other",1,0
0,93,39.6889,-75.2561,0,0,"ENR","SCF-PP",0,0
0,94,30.2314,-92.5842,0,0,"LDG","ARC",0,0
0,94,33.4533,-80.8597,0,0,"TOF","LOC-G",0,0
0,94,30.0619,-95.5528,0,0,"LDG","LOC-G",0,0
1,95,35.8253,-83.5683,0,1,"MNV","SCF-PP",1,0
0,95,26.9122,-81.9933,0,0,"TXI","Other",0,0
0,96,35.9547,-95.1353,0,0,"ENR","FUEL",0,0
0,97,36.1464,-112.7586,0,1,"LDG","Other",1,0
0,97,32.2406,-80.7197,0,0,"APR","SCF-PP",0,0
0,97,61.2567,-148.5825,0,0,"TOF","Other",0,0
0,97,34.2569,-111.3392,0,0,"LDG","ARC",1,0
0,98,54.0556,22.9033,1,1,"TOF","Other",1,0
0,98,29.4381,-90.2625,0,1,"ENR","SCF-NP",1,0
0,99,31.5522,-81.8703,0,0,"Other","FUEL",0,0
1,99,32.4528,-96.9133,0,0,"TOF","LOC-I",1,0
0,99,32.7714,-97.7394,0,1,"TOF","SCF-NP",0,0
0,99,44.8575,-93.0331,0,0,"LDG","ARC",0,0
1,100,29.1739,-82.2242,0,0,"Other","LOC-I",0,0
1,100,30.6864,-97.2922,0,0,"MNV","LOC-I",1,0
